# PAGES2kv2_Ant-Ferrigno_Thomas_2013LMR12 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-Ferrigno_Thomas_2013LMR12 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Thomas, Elizabeth R.,Bracegirdle, Thomas J.,Turner, John,Wolff, Eric W.
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Thomas, Elizabeth R.,Bracegirdle, Thomas J.,Turner, John,Wolff, Eric W.
#	Published_Date_or_Year: 
#	Published_Title: A 308 year record of climate variability in West Antarctica
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 10.1002/2013GL057782
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: Ferrigno
#	Location: 
#	Country: 
#	Northernmost_Latitude: -74.57
#	Southernmost_Latitude: -74.57
#	Easternmost_Longitude: -86.9
#	Westernmost_Longitude: -86.9
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-Ferrigno_Thomas_2013LMR12
#	Earliest_Year: 1703
#	Most_Recent_Year: 2010
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##dD	deuterium isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	dD
1854	-196.5953734
1853	-211.266216714
1852	-196.714938
1851	-222.096558167
1850	-203.3233295
1849	-213.086121667
1848	-205.4377279
1847	-212.552148
1846	-220.504569714
1845	-220.037066875
1844	-214.172640625
1843	-216.397005667
1842	-214.473408667
1841	-210.574957778
1840	-228.676895571
1839	-216.664960125
1838	-192.124316333
1837	-196.770385111
1836	-213.2477105
1835	-210.993590429
1834	-199.595737167
1833	-202.166776875
1832	-204.277404
1831	-202.6879295
1830	-184.664026778
1829	-195.629912625
1828	-213.574350875
1827	-206.624234
1826	-202.421739167
1825	-203.393936833
1824	-191.352015556
1823	-191.876134875
1822	-193.13684225
1821	-200.7732208
1820	-217.149326857
1819	-190.81568525
1818	-205.948662714
1817	-197.491258429
1816	-201.901581444
1815	-212.872688636
1814	-212.5828756
1813	-208.427552875
1812	-213.996217
1811	-187.059295889
1810	-186.605381125
1809	-202.843121125
1808	-209.203845
1807	-211.1306158
1806	-203.386610571
1805	-189.753098
1804	-215.511633111
1803	-208.814177286
1802	-204.793774857
1801	-209.9749575
1800	-203.392301714
1799	-213.099982
1798	-212.612620222
1797	-213.356693375
1796	-206.801130333
1795	-221.055607143
1794	-205.101273
1793	-196.7933285
1792	-202.8690292
1791	-206.32953675
1790	-207.634969875
1789	-196.998963455
1788	-196.412497333
1787	-186.021974556
1786	-184.2034415
1785	-195.7450385
1784	-192.033302833
1783	-190.767577333
1782	-189.1801355
1781	-199.607471833
1780	-212.695879286
1779	-183.830154833
1778	-212.015396857
1777	-206.063471222
1776	-195.073435889
1775	-202.716729571
1774	-188.897883714
1773	-186.620636333
1772	-210.72566
1771	-178.520251167
1770	-185.919061286
1769	-216.918553714
1768	-190.8912578
1767	-187.253108875
1766	-200.567278889
1765	-189.251233556
1764	-208.9088658
1763	-205.466956333
1762	-198.648326429
1761	-196.627434714
1760	-222.100482571
1759	-197.2704904
1758	-203.701537286
1757	-208.921684222
1756	-199.0985144
1755	-203.309621571
1754	-206.387149
1753	-227.6031948
1752	-193.183874
1751	-198.715235857
1750	-217.9117462
1749	-208.095619
1748	-218.412574571
1747	-220.505444167
1746	-206.45316425
1745	-206.1165645
1744	-218.178111333
1743	-203.8932664
1742	-212.872331
1741	-202.6307222
1740	-199.182291571
1739	-196.145244167
1738	-218.977431333
1737	-213.40489375
1736	-200.782212714
1735	-190.2753215
1734	-199.410000167
1733	-200.504073
1732	-197.5725326
1731	-211.5813735
1730	-207.697110714
1729	-190.077298
1728	-204.772554571
1727	-220.1224282
1726	-203.268862286
1725	-209.56518925
1724	-213.805121286
1723	-209.021972667
1722	-190.999895
1721	-185.539920143
1720	-199.6299676
1719	-196.596565875
1718	-199.846580125
1717	-220.423151167
1716	-212.156256375
1715	-195.203559
1714	-211.3745915
1713	-211.10156425
1712	-202.076030875
1711	-192.863271
1710	-191.066662333
1709	-192.666449833
1708	-202.444042375
1707	-210.698249429
1706	-205.887017
1705	-202.2827756
1704	-213.762044857
1703	-208.468015571
