# PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2 - from PAGES Phase 2 v1.9.0
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource:
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2016-05-04
#--------------------
# Title
#	Study_Name: PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2 - from PAGES Phase 2 v1.9.0
#--------------------
# Investigators
#	Investigators: Vladimirova, Diana; Ekaykin, Alexey
#--------------------
# Description_and_Notes
#	Description: Data from PAGES second data collation effort.
#--------------------
# Publication
#	Authors: Vladimirova, Diana; Ekaykin, Alexey
#	Published_Date_or_Year: 
#	Published_Title: 
#	Journal_Name: 
#	Volume: 
#	Edition:
#	Issue:
#	Pages: 
#	DOI: 
#	Online_Resource:
#	Full_Citation:
#	Abstract:
#--------------------
# Funding_Agency
#	
#	Grant:
#--------------------
# Site_Information
#	Site_Name: 105th km
#	Location: 
#	Country: 
#	Northernmost_Latitude: -67.433
#	Southernmost_Latitude: -67.433
#	Easternmost_Longitude: 93.383
#	Westernmost_Longitude: 93.383
#	Elevation: 
#--------------------
# Data_Collection
#	Collection_Name: PAGES2kv2_Ant-105thkm_Vladimirova_2014LMR2
#	Earliest_Year: 1766
#	Most_Recent_Year: 1987
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":{"database1":"LMR","database2":"PAGES2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"air", "interpDirection":"positive", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}}
#--------------------
# Species
#	Species_Name: 
#	Species_Code: 
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , , , ,N
##dD	deuterium isotope ratio, , , permil, "[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]", Ice Cores, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	dD
1860	-209.613923573
1859	-210.209973427
1858	-223.396544913
1857	-211.817570268
1856	-211.479941932
1855	-214.812045008
1854	-223.713094375
1853	-217.788055151
1852	-224.753139772
1851	-228.65364798
1850	-226.533301388
1849	-229.483133102
1848	-230.216193655
1847	-226.487930492
1846	-213.440890374
1845	-221.033854299
1844	-219.584870131
1843	-219.74565955
1842	-244.019871824
1841	-244.271547463
1840	-237.930024109
1839	-230.124258483
1838	-210.614982707
1837	-215.565786324
1836	-219.591596283
1835	-219.752658796
1834	-222.739429041
1833	-221.584176911
1832	-216.528940427
1831	-212.248719566
1830	-218.540285958
1829	-221.688324629
1828	-219.732569113
1827	-220.002410529
1826	-205.102500017
1825	-224.168597598
1824	-218.767200298
1823	-222.066121623
1822	-236.419010433
1821	-228.647365467
1820	-204.004921167
1819	-203.975528551
1818	-216.383191315
1817	-227.984650355
1816	-237.997266712
1815	-225.800626215
1814	-219.619188844
1813	-226.192341008
1812	-226.774391772
1811	-225.017115145
1810	-223.565478262
1809	-228.344291314
1808	-228.823119498
1807	-225.710658444
1806	-237.684363526
1805	-228.950196481
1804	-231.939169719
1803	-229.261719128
1802	-215.615046496
1801	-222.132075917
1800	-222.658403671
1799	-212.775056731
1798	-215.236245582
1797	-221.663686055
1796	-232.900665222
1795	-217.270992588
1794	-227.812763369
1793	-232.578358498
1792	-225.939206526
1791	-222.879279559
1790	-233.188183675
1789	-227.340829988
1788	-228.885206849
1787	-232.664567805
1786	-226.161183408
1785	-223.175079367
1784	-221.771884707
1783	-221.271336252
1782	-222.976065559
1781	-234.757125241
1780	-237.0118837
1779	-230.548235652
1778	-223.471251682
1777	-220.016789988
1776	-227.731180534
1775	-221.959432194
1774	-237.948165388
1773	-228.869961573
1772	-234.392578665
1771	-223.701718354
1770	-227.03651344
1769	-231.076451085
1768	-230.975377422
1767	-225.446112946
1766	-216.227119176
1765	-219.300447376
1764	-220.870885481
1763	-219.022896575
1762	-223.109095534
1761	-235.005266656
1760	-229.381446064
1759	-217.905809016
1758	-220.654749261
1757	-227.12433047
